match_id,title,competition,season,teams,sources
3890477,Augsburg vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Augsburg"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890446,Augsburg vs Bayern Munich,1. Bundesliga,2015/2016,"[""Augsburg"", ""Bayern Munich""]","[""statsbomb_open_data""]"
3890501,Augsburg vs Borussia Dortmund,1. Bundesliga,2015/2016,"[""Augsburg"", ""Borussia Dortmund""]","[""statsbomb_open_data""]"
3890462,Augsburg vs Borussia Mönchengladbach,1. Bundesliga,2015/2016,"[""Augsburg"", ""Borussia M\u00f6nchengladbach""]","[""statsbomb_open_data""]"
3890333,Augsburg vs Darmstadt 98,1. Bundesliga,2015/2016,"[""Augsburg"", ""Darmstadt 98""]","[""statsbomb_open_data""]"
3890426,Augsburg vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Augsburg"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890538,Augsburg vs FC Köln,1. Bundesliga,2015/2016,"[""Augsburg"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890354,Augsburg vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Augsburg"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890564,Augsburg vs Hamburger SV,1. Bundesliga,2015/2016,"[""Augsburg"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890302,Augsburg vs Hannover 96,1. Bundesliga,2015/2016,"[""Augsburg"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890265,Augsburg vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Augsburg"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890314,Augsburg vs Hoffenheim,1. Bundesliga,2015/2016,"[""Augsburg"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890281,Augsburg vs Ingolstadt,1. Bundesliga,2015/2016,"[""Augsburg"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890402,Augsburg vs Schalke 04,1. Bundesliga,2015/2016,"[""Augsburg"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890522,Augsburg vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Augsburg"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890366,Augsburg vs Werder Bremen,1. Bundesliga,2015/2016,"[""Augsburg"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890383,Augsburg vs Wolfsburg,1. Bundesliga,2015/2016,"[""Augsburg"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890330,Bayer Leverkusen vs Augsburg,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Augsburg""]","[""statsbomb_open_data""]"
3890431,Bayer Leverkusen vs Bayern Munich,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Bayern Munich""]","[""statsbomb_open_data""]"
3890456,Bayer Leverkusen vs Borussia Dortmund,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Borussia Dortmund""]","[""statsbomb_open_data""]"
3890395,Bayer Leverkusen vs Borussia Mönchengladbach,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Borussia M\u00f6nchengladbach""]","[""statsbomb_open_data""]"
3890288,Bayer Leverkusen vs Darmstadt 98,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Darmstadt 98""]","[""statsbomb_open_data""]"
3890521,Bayer Leverkusen vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890359,Bayer Leverkusen vs FC Köln,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890312,Bayer Leverkusen vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890492,Bayer Leverkusen vs Hamburger SV,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890427,Bayer Leverkusen vs Hannover 96,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890540,Bayer Leverkusen vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890260,Bayer Leverkusen vs Hoffenheim,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890563,Bayer Leverkusen vs Ingolstadt,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890382,Bayer Leverkusen vs Schalke 04,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890346,Bayer Leverkusen vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890472,Bayer Leverkusen vs Werder Bremen,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890502,Bayer Leverkusen vs Wolfsburg,1. Bundesliga,2015/2016,"[""Bayer Leverkusen"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890287,Bayern Munich vs Augsburg,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Augsburg""]","[""statsbomb_open_data""]"
3890278,Bayern Munich vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890329,Bayern Munich vs Borussia Dortmund,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Borussia Dortmund""]","[""statsbomb_open_data""]"
3890541,Bayern Munich vs Borussia Mönchengladbach,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Borussia M\u00f6nchengladbach""]","[""statsbomb_open_data""]"
3890453,Bayern Munich vs Darmstadt 98,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Darmstadt 98""]","[""statsbomb_open_data""]"
3890505,Bayern Munich vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890341,Bayern Munich vs FC Köln,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890474,Bayern Munich vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890259,Bayern Munich vs Hamburger SV,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890559,Bayern Munich vs Hannover 96,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890378,Bayern Munich vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890428,Bayern Munich vs Hoffenheim,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890399,Bayern Munich vs Ingolstadt,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890526,Bayern Munich vs Schalke 04,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890364,Bayern Munich vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890489,Bayern Munich vs Werder Bremen,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890305,Bayern Munich vs Wolfsburg,1. Bundesliga,2015/2016,"[""Bayern Munich"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890347,Borussia Dortmund vs Augsburg,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Augsburg""]","[""statsbomb_open_data""]"
3890301,Borussia Dortmund vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890481,Borussia Dortmund vs Bayern Munich,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Bayern Munich""]","[""statsbomb_open_data""]"
3890261,Borussia Dortmund vs Borussia Mönchengladbach,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Borussia M\u00f6nchengladbach""]","[""statsbomb_open_data""]"
3890321,Borussia Dortmund vs Darmstadt 98,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Darmstadt 98""]","[""statsbomb_open_data""]"
3890401,Borussia Dortmund vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890562,Borussia Dortmund vs FC Köln,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890491,Borussia Dortmund vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890528,Borussia Dortmund vs Hamburger SV,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890442,Borussia Dortmund vs Hannover 96,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890284,Borussia Dortmund vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890464,Borussia Dortmund vs Hoffenheim,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890422,Borussia Dortmund vs Ingolstadt,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890365,Borussia Dortmund vs Schalke 04,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890384,Borussia Dortmund vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890507,Borussia Dortmund vs Werder Bremen,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890542,Borussia Dortmund vs Wolfsburg,1. Bundesliga,2015/2016,"[""Borussia Dortmund"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890308,Borussia Mönchengladbach vs Augsburg,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Augsburg""]","[""statsbomb_open_data""]"
3890550,Borussia Mönchengladbach vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890387,Borussia Mönchengladbach vs Bayern Munich,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Bayern Munich""]","[""statsbomb_open_data""]"
3890417,Borussia Mönchengladbach vs Borussia Dortmund,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Borussia Dortmund""]","[""statsbomb_open_data""]"
3890410,Borussia Mönchengladbach vs Darmstadt 98,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Darmstadt 98""]","[""statsbomb_open_data""]"
3890488,Borussia Mönchengladbach vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890450,Borussia Mönchengladbach vs FC Köln,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890276,Borussia Mönchengladbach vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890286,Borussia Mönchengladbach vs Hamburger SV,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890373,Borussia Mönchengladbach vs Hannover 96,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890510,Borussia Mönchengladbach vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890536,Borussia Mönchengladbach vs Hoffenheim,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890363,Borussia Mönchengladbach vs Ingolstadt,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890348,Borussia Mönchengladbach vs Schalke 04,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890471,Borussia Mönchengladbach vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890430,Borussia Mönchengladbach vs Werder Bremen,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890323,Borussia Mönchengladbach vs Wolfsburg,1. Bundesliga,2015/2016,"[""Borussia M\u00f6nchengladbach"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890487,Darmstadt 98 vs Augsburg,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Augsburg""]","[""statsbomb_open_data""]"
3890444,Darmstadt 98 vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890296,Darmstadt 98 vs Bayern Munich,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Bayern Munich""]","[""statsbomb_open_data""]"
3890468,Darmstadt 98 vs Borussia Dortmund,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Borussia Dortmund""]","[""statsbomb_open_data""]"
3890560,Darmstadt 98 vs Borussia Mönchengladbach,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Borussia M\u00f6nchengladbach""]","[""statsbomb_open_data""]"
3890539,Darmstadt 98 vs Eintracht Frankfurt,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Eintracht Frankfurt""]","[""statsbomb_open_data""]"
3890376,Darmstadt 98 vs FC Köln,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""FC K\u00f6ln""]","[""statsbomb_open_data""]"
3890322,Darmstadt 98 vs FSV Mainz 05,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""FSV Mainz 05""]","[""statsbomb_open_data""]"
3890360,Darmstadt 98 vs Hamburger SV,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Hamburger SV""]","[""statsbomb_open_data""]"
3890262,Darmstadt 98 vs Hannover 96,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Hannover 96""]","[""statsbomb_open_data""]"
3890398,Darmstadt 98 vs Hertha Berlin,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Hertha Berlin""]","[""statsbomb_open_data""]"
3890283,Darmstadt 98 vs Hoffenheim,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Hoffenheim""]","[""statsbomb_open_data""]"
3890525,Darmstadt 98 vs Ingolstadt,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Ingolstadt""]","[""statsbomb_open_data""]"
3890424,Darmstadt 98 vs Schalke 04,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Schalke 04""]","[""statsbomb_open_data""]"
3890506,Darmstadt 98 vs VfB Stuttgart,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""VfB Stuttgart""]","[""statsbomb_open_data""]"
3890307,Darmstadt 98 vs Werder Bremen,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Werder Bremen""]","[""statsbomb_open_data""]"
3890342,Darmstadt 98 vs Wolfsburg,1. Bundesliga,2015/2016,"[""Darmstadt 98"", ""Wolfsburg""]","[""statsbomb_open_data""]"
3890272,Eintracht Frankfurt vs Augsburg,1. Bundesliga,2015/2016,"[""Eintracht Frankfurt"", ""Augsburg""]","[""statsbomb_open_data""]"
3890370,Eintracht Frankfurt vs Bayer Leverkusen,1. Bundesliga,2015/2016,"[""Eintracht Frankfurt"", ""Bayer Leverkusen""]","[""statsbomb_open_data""]"
3890349,Eintracht Frankfurt vs Bayern Munich,1. Bundesliga,2015/2016,"[""Eintracht Frankfurt"", ""Bayern Munich""]","[""statsbomb_open_data""]"
