player_id,player_name,team,nationality,position,sources
167648,Aaren D''Silva,Hyderabad,India,Right Back,"[""statsbomb_open_data""]"
3062,Aaron Cresswell,West Ham United,England,Left Back,"[""statsbomb_open_data""]"
20059,Aaron Hughes,Newcastle United,Northern Ireland,Right Back,"[""statsbomb_open_data""]"
8308,Aaron Hunt,Wolfsburg,Germany,Center Attacking Midfield,"[""statsbomb_open_data""]"
3953,Aaron Lennon,Leeds United,England,Left Midfield,"[""statsbomb_open_data""]"
12757,Aaron Long,United States,United States of America,Right Center Back,"[""statsbomb_open_data""]"
41063,Aaron Mattia Tabacchi,Bologna,Italy,Left Wing,"[""statsbomb_open_data""]"
3281,Aaron Mooy,Australia,Australia,Right Defensive Midfield,"[""statsbomb_open_data""]"
22783,Aaron Ramsdale,England,England,,"[""statsbomb_open_data""]"
3517,Aaron Ramsey,Arsenal,Wales,Right Defensive Midfield,"[""statsbomb_open_data""]"
19719,Aaron Salem Boupendza Pozzi,Cincinnati,Gabon,Right Center Forward,"[""statsbomb_open_data""]"
4753,Aaron Tshibola,Congo DR,"Congo, (Kinshasa)",Right Defensive Midfield,"[""statsbomb_open_data""]"
25704,Aarón Escandell Banacloche,Granada,Spain,Goalkeeper,"[""statsbomb_open_data""]"
6757,Aarón Martín Caricol,Espanyol,Spain,Left Back,"[""statsbomb_open_data""]"
36253,Aarón Moisés Cruz Esquivel,Costa Rica,Costa Rica,,"[""statsbomb_open_data""]"
25849,Aarón Níguez Esclapez,Elche,Spain,Left Wing,"[""statsbomb_open_data""]"
112523,Abbey Jones,Birmingham City WFC,England,,"[""statsbomb_open_data""]"
15573,Abbey-Leigh Stringer,Everton LFC,England,Right Center Midfield,"[""statsbomb_open_data""]"
31565,Abbi Grant,Birmingham City WFC,Scotland,Left Midfield,"[""statsbomb_open_data""]"
77993,Abbie Cowie,Birmingham City WFC,England,,"[""statsbomb_open_data""]"
401636,Abbie Larkin,Republic of Ireland Women's,Ireland,Right Wing,"[""statsbomb_open_data""]"
276295,Abbie Magee,Northern Ireland,Northern Ireland,Right Wing Back,"[""statsbomb_open_data""]"
4648,Abbie McManus,Manchester City WFC,England,Left Back,"[""statsbomb_open_data""]"
5081,Abby Dahlkemper,United States Women's,United States of America,Right Center Back,"[""statsbomb_open_data""]"
30521,Abby Elinsky,Orlando Pride,United States of America,,"[""statsbomb_open_data""]"
5037,Abby Erceg,New Zealand Women's,New Zealand,Left Center Back,"[""statsbomb_open_data""]"
5031,Abby Smith,Utah Royals,United States of America,Goalkeeper,"[""statsbomb_open_data""]"
5251,Abdalla Mahmoud El Said Bekhit,Egypt,Egypt,Center Attacking Midfield,"[""statsbomb_open_data""]"
49520,Abdallah Dipo Sima,Angers,Senegal,Left Center Forward,"[""statsbomb_open_data""]"
41125,Abdallahi Mohamed Mahmoud,Deportivo Alavés,Mauritania,Left Center Midfield,"[""statsbomb_open_data""]"
49765,Abdel Jalil Zaim Idriss Medioub,Bordeaux,Algeria,,"[""statsbomb_open_data""]"
23933,Abdelaziz Barrada,Marseille,Morocco,Center Attacking Midfield,"[""statsbomb_open_data""]"
23329,Abdelhamid El Kaoutari,Palermo,Morocco,Left Center Back,"[""statsbomb_open_data""]"
3634,Abdelhamid Sabiri,Morocco,Morocco,Left Center Midfield,"[""statsbomb_open_data""]"
82674,Abdelkabir Abqar,Deportivo Alavés,Morocco,,"[""statsbomb_open_data""]"
26844,Abdelkader Mohamed Ghezzal,Levante UD,Algeria,Left Wing,"[""statsbomb_open_data""]"
124494,Abdelkarim Hassan Al Haj Fadlalla,Qatar,Qatar,Left Center Back,"[""statsbomb_open_data""]"
59493,Abderrazak Hamdallah,Morocco,Morocco,Right Wing,"[""statsbomb_open_data""]"
149714,Abdessamad Ezzalzouli,Morocco,Morocco,Left Midfield,"[""statsbomb_open_data""]"
297698,Abdi Banda,Tanzania,"Tanzania, United Republic of",,"[""statsbomb_open_data""]"
35432,Abdiel Armando Ayarza Cocanegra,Panama,Panama,Left Defensive Midfield,"[""statsbomb_open_data""]"
6140,Abdiel Arroyo Molinar,Panama,Panama,Right Wing,"[""statsbomb_open_data""]"
8553,Abdou Diallo,Paris Saint-Germain,Senegal,Left Center Back,"[""statsbomb_open_data""]"
2953,Abdou Kader Mangane,Gazélec Ajaccio,Senegal,Left Center Back,"[""statsbomb_open_data""]"
46756,Abdoul Bamo Meité,Lorient,Côte d'Ivoire,Right Center Back,"[""statsbomb_open_data""]"
43705,Abdoul Fessal Tapsoba,Burkina Faso,Burkina Faso,Right Wing,"[""statsbomb_open_data""]"
27092,Abdoul Karim Yoda,Getafe,France,Right Midfield,"[""statsbomb_open_data""]"
225436,Abdoul Razack Guiebre,Burkina Faso,Burkina Faso,Left Back,"[""statsbomb_open_data""]"
3078,Abdoul Razzagui Camara,Angers,Guinea,Left Wing,"[""statsbomb_open_data""]"
26683,Abdoulay Konko,Lazio,France,Right Back,"[""statsbomb_open_data""]"
11536,Abdoulaye Ba,Rayo Vallecano,Senegal,Right Center Back,"[""statsbomb_open_data""]"
4439,Abdoulaye Bamba,Angers,Côte d'Ivoire,Right Back,"[""statsbomb_open_data""]"
2994,Abdoulaye Diallo,Rennes,Senegal,Goalkeeper,"[""statsbomb_open_data""]"
3292,Abdoulaye Doucouré,Granada,Mali,Right Defensive Midfield,"[""statsbomb_open_data""]"
7607,Abdoulaye Keita,Bastia,Mali,Left Midfield,"[""statsbomb_open_data""]"
104442,Abdoulaye Niakhate Ndiaye,Senegal,Senegal,,"[""statsbomb_open_data""]"
31711,Abdoulaye Sadio Diallo,Bastia,Guinea,Center Attacking Midfield,"[""statsbomb_open_data""]"
25759,Abdoulaye Seck,Senegal,Senegal,Left Center Back,"[""statsbomb_open_data""]"
3138,Abdoulaye Touré,Nantes,Guinea,Left Defensive Midfield,"[""statsbomb_open_data""]"
40518,Abdoulaye Traoré,Bordeaux,Mali,Right Defensive Midfield,"[""statsbomb_open_data""]"
31015,Abdu Conté,Troyes,Portugal,Left Center Back,"[""statsbomb_open_data""]"
136306,Abdul Fatawu Issahaku,Ghana,Ghana,Center Attacking Midfield,"[""statsbomb_open_data""]"
163348,Abdul Hakku Nediyodath,Kerala Blasters,India,Left Center Back,"[""statsbomb_open_data""]"
7615,Abdul Majeed Waris,Lorient,Ghana,Left Center Forward,"[""statsbomb_open_data""]"
52091,Abdul Manaf Nurudeen,Ghana,Ghana,,"[""statsbomb_open_data""]"
166021,Abdul Rabeeh,Hyderabad,India,Left Wing,"[""statsbomb_open_data""]"
12325,Abdul Rahman Baba,Chelsea,Ghana,Left Back,"[""statsbomb_open_data""]"
124514,Abdulaziz Hatem Mohammed Abdullah,Qatar,Qatar,Left Center Midfield,"[""statsbomb_open_data""]"
51094,Abdulelah Al Amri,Saudi Arabia,Saudi Arabia,Right Center Back,"[""statsbomb_open_data""]"
56755,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,Saudi Arabia,Left Defensive Midfield,"[""statsbomb_open_data""]"
47721,Abdulia Sanyang,Gambia,Gambia,Right Wing Back,"[""statsbomb_open_data""]"
51087,Abdullah Alkhaibari,Saudi Arabia,Saudi Arabia,,"[""statsbomb_open_data""]"
5189,Abdullah Ibrahim Al Maiouf,Saudi Arabia,Saudi Arabia,Goalkeeper,"[""statsbomb_open_data""]"
5173,Abdullah Ibrahim Otayf,Saudi Arabia,Saudi Arabia,Center Defensive Midfield,"[""statsbomb_open_data""]"
51103,Abdullah Mohammed Madu,Saudi Arabia,Saudi Arabia,Right Defensive Midfield,"[""statsbomb_open_data""]"
5471,Abdullahi Shehu,Nigeria,Nigeria,Right Back,"[""statsbomb_open_data""]"
51551,Abdulmalek Abdullah Al Khaibri,Saudi Arabia,Saudi Arabia,,"[""statsbomb_open_data""]"
408060,Abdulmalik Adam Zakaria,Tanzania,"Tanzania, United Republic of",,"[""statsbomb_open_data""]"
51705,Abdulrahman Al-Obood,Saudi Arabia,Saudi Arabia,Center Forward,"[""statsbomb_open_data""]"
24067,Abdón Prats Bastidas,Mallorca,Spain,Right Center Forward,"[""statsbomb_open_data""]"
48383,Abdülkerim Bardakcı,Turkey,Turkey,Left Center Back,"[""statsbomb_open_data""]"
40097,Abel Eduardo Balbo,Fiorentina,Argentina,Right Center Forward,"[""statsbomb_open_data""]"
6192,Abel Enrique Aguilar Tapia,Real Zaragoza,Colombia,Left Defensive Midfield,"[""statsbomb_open_data""]"
26503,Abel Gómez Moreno,Córdoba CF,Spain,Right Midfield,"[""statsbomb_open_data""]"
24976,Abel Ruiz Ortega,Barcelona,Spain,Left Wing,"[""statsbomb_open_data""]"
397992,Abelardo Carabelli,Argentina U20,Argentina,Right Back,"[""statsbomb_open_data""]"
163361,Abhishek Dhananjay Suryavanshi,ATK Mohun Bagan,India,Left Defensive Midfield,"[""statsbomb_open_data""]"
23412,Abigail Harrison,Bristol City WFC,Scotland,Center Forward,"[""statsbomb_open_data""]"
402460,Abigaíl Cháves,Argentina Women's,Argentina,,"[""statsbomb_open_data""]"
4471,Ablie Jallow,Gambia,Gambia,Center Attacking Midfield,"[""statsbomb_open_data""]"
326758,Abolfazl Jalali,Iran,"Iran, Islamic Republic of",Left Back,"[""statsbomb_open_data""]"
389221,Aboubacar Doumbia,Mali,Mali,,"[""statsbomb_open_data""]"
408674,Aboubacar Traoré,Mali,Côte d'Ivoire,Left Defensive Midfield,"[""statsbomb_open_data""]"
10280,Aboubakar Kamara,Mauritania,Mauritania,Center Forward,"[""statsbomb_open_data""]"
23892,Aboubakary Koita,Mauritania,Mauritania,Center Attacking Midfield,"[""statsbomb_open_data""]"
27148,Abraham González Casanova,Espanyol,Spain,Left Center Back,"[""statsbomb_open_data""]"
23942,Abraham Minero Fernández,Eibar,Spain,Left Wing Back,"[""statsbomb_open_data""]"
26749,Abraham Paz Cruz,Hércules,Spain,Right Center Back,"[""statsbomb_open_data""]"
103804,Absalom Iimbondi,Namibia,Namibia,Right Midfield,"[""statsbomb_open_data""]"
40419,Accursio Bentivegna,Palermo,Italy,Right Midfield,"[""statsbomb_open_data""]"
26549,Achille Emaná Edzimbi,Real Betis,Cameroon,Center Attacking Midfield,"[""statsbomb_open_data""]"
139016,Achraf Dari,Stade Brestois,Morocco,Right Center Back,"[""statsbomb_open_data""]"
5245,Achraf Hakimi Mouh,Paris Saint-Germain,Morocco,Right Wing Back,"[""statsbomb_open_data""]"
10032,Achraf Lazaar,Palermo,Morocco,Left Wing Back,"[""statsbomb_open_data""]"
398691,Acácio Cordeiro Barreto,Brazil,Brazil,,"[""statsbomb_open_data""]"
10385,Ada Stolsmo Hegerberg,Norway Women's,Norway,Center Forward,"[""statsbomb_open_data""]"
47345,Adalberto Eliécer Carrasquilla Alcázar,Panama,Panama,Left Defensive Midfield,"[""statsbomb_open_data""]"
6847,Adalberto Peñaranda Maestre,Granada,Venezuela (Bolivarian Republic),Left Center Forward,"[""statsbomb_open_data""]"
398462,Adalid Terrazas Abasto,Bolivia,Bolivia,Center Forward,"[""statsbomb_open_data""]"
409280,Adam Aznou Ben Cheikh,Bayern Munich,Spain,,"[""statsbomb_open_data""]"
7663,Adam Buksa,Poland,Poland,Right Center Forward,"[""statsbomb_open_data""]"
4090,Adam David Lallana,Liverpool,England,Right Wing,"[""statsbomb_open_data""]"
4584,Adam Davies,Wales,Wales,,"[""statsbomb_open_data""]"
24888,Adam Federici,AFC Bournemouth,Australia,Goalkeeper,"[""statsbomb_open_data""]"
26306,Adam Fernando Bareiro Gamarra,Paraguay,Paraguay,Center Forward,"[""statsbomb_open_data""]"
31968,Adam Gnezda Čerin,Slovenia,Slovenia,Right Defensive Midfield,"[""statsbomb_open_data""]"
4683,Adam Hloušek,VfB Stuttgart,Czech Republic,Left Center Back,"[""statsbomb_open_data""]"
28239,Adam Hložek,Czech Republic,Czech Republic,Left Wing,"[""statsbomb_open_data""]"
4400,Adam Jakubech,Lille,Slovakia,,"[""statsbomb_open_data""]"
42902,Adam Johnson,Sunderland,England,Right Wing,"[""statsbomb_open_data""]"
7169,Adam Masina,Bologna,Morocco,Left Back,"[""statsbomb_open_data""]"
10770,Adam Matthews,Sunderland,Wales,Right Back,"[""statsbomb_open_data""]"
85063,Adam Obert,Slovakia,Slovakia,Left Center Midfield,"[""statsbomb_open_data""]"
10448,Adam Ounas,Bordeaux,Algeria,Right Wing,"[""statsbomb_open_data""]"
6409,Adam Smith,AFC Bournemouth,England,Right Midfield,"[""statsbomb_open_data""]"
77723,Adam Wharton,England,England,,"[""statsbomb_open_data""]"
77926,Adama Ba,Bastia,Mauritania,,"[""statsbomb_open_data""]"
24411,Adama Guira,Burkina Faso,Burkina Faso,Right Defensive Midfield,"[""statsbomb_open_data""]"
2942,Adama Mbengue,Senegal,Senegal,,"[""statsbomb_open_data""]"
4464,Adama Traoré,AS Monaco,Mali,Left Center Midfield,"[""statsbomb_open_data""]"
11333,Adama Traoré Diarra,Aston Villa,Spain,Left Wing,"[""statsbomb_open_data""]"
99280,Adamo Nagalo,Burkina Faso,Burkina Faso,Right Back,"[""statsbomb_open_data""]"
392547,Adelaide Gay,Portland Thorns,United States of America,,"[""statsbomb_open_data""]"
17273,Adelina Engman,Chelsea FCW,Finland,Right Back,"[""statsbomb_open_data""]"
10790,Adelino André Vieira Freitas,Wolfsburg,Portugal,Right Back,"[""statsbomb_open_data""]"
5587,Adem Ljajić,AS Roma,Serbia,Left Wing,"[""statsbomb_open_data""]"
397869,Ademir da Guia,Brazil,Brazil,,"[""statsbomb_open_data""]"
3447,Ademola Lookman,Nigeria,Nigeria,Left Midfield,"[""statsbomb_open_data""]"
27482,Aderllan Leandro de Jesus Santos,Valencia,Brazil,Right Center Back,"[""statsbomb_open_data""]"
31031,Adil Aouchiche,Saint-Étienne,France,Left Midfield,"[""statsbomb_open_data""]"
124760,Adil Khan,East Bengal,India,Left Center Back,"[""statsbomb_open_data""]"
3253,Adil Rami,Sevilla,France,Right Center Back,"[""statsbomb_open_data""]"
135849,Adilson Cipriano da Cruz,Angola,Angola,Goalkeeper,"[""statsbomb_open_data""]"
67374,Adilson Malanda,Charlotte,France,Right Center Back,"[""statsbomb_open_data""]"
4828,Adlène Guédioura,Watford,Algeria,Right Defensive Midfield,"[""statsbomb_open_data""]"
8219,Admir Mehmedi,Switzerland,Switzerland,Left Center Forward,"[""statsbomb_open_data""]"
6330,Adnan Januzaj,Real Sociedad,Belgium,Right Midfield,"[""statsbomb_open_data""]"
8264,Adnane Tighadouini,Málaga,Morocco,Right Wing,"[""statsbomb_open_data""]"
37498,Ado Onaiwu,Toulouse,Japan,Center Forward,"[""statsbomb_open_data""]"
6346,Adolfo Abdiel Machado,Panama,Panama,Right Back,"[""statsbomb_open_data""]"
31744,Adrian Beck,FC Heidenheim,Germany,Center Attacking Midfield,"[""statsbomb_open_data""]"
138355,Adrian Gheorghe Șut,Romania,Romania,,"[""statsbomb_open_data""]"
8609,Adrian Grbic,Lorient,Austria,,"[""statsbomb_open_data""]"
